Business Name,Address,City,State,Zip,Phone
Skinney Medspa,30 E 60th St,New York,NY,10022,(212) 371-1200
Manhattan Medspa,220 Madison Ave Ste C,New York,NY,10016,(212) 749-1000
NYC Medspa,37 W 26th St Ste 401,New York,NY,10010,(212) 433-8535
Skinney Medspa,611 5th Ave Fl 2,New York,NY,10022,(212) 754-6639
Perfect Med Spa,109 E 36th St,New York,NY,10016,(212) 901-0656
Treat Medspa,244 5th Ave Fl 3,New York,NY,10001,(646) 849-2580
Trifecta Med Spa 57,200 W 57th St Ste 1107,New York,NY,10019,(212) 247-4148
Skinney Medspa,225 Liberty St,New York,NY,10281,(212) 754-6639
Trifecta Med Spa Downtown,115 Broadway Ste 1305,New York,NY,10006,(212) 600-4112
Tribeca Medspa,114 Hudson St,New York,NY,10013,(212) 925-9500
MCNYC Medical Clinic Spa,365 W 49th St,New York,NY,,"(information on Yelp)"
Monroe Medspa,2261 Monroe Ave,Rochester,NY,14618,(585) 357-0229
Sienna Med Spa,4214 Beverly Blvd Ste 202,Los Angeles,CA,90004,(213) 384-3800
Renouveau Med Spa,11600 Washington Pl Ste 106,Los Angeles,CA,90066,(424) 722-3736
South Coast Medspa,11645 Wilshire Blvd Ste 1120,Los Angeles,CA,90025,(310) 268-7979
R&J Med Spa,1110 S Western Ave Ste 206,Los Angeles,CA,90006,
Angels Med Spa Los Angeles,4405 W Riverside Dr Ste 102,Burbank,CA,91505,(323) 458-4950
Los Feliz Med Spa,2107 Hillhurst Ave,Los Angeles,CA,90027,(323) 664-0186
MedBeautyLA,1100 South Hope St Unit 101,Los Angeles,CA,90015,(213) 640-4008
Viora Cosmetic Surgery,3663 W 6th St Ste 303,Los Angeles,CA,90020,(213) 387-5323
Bovisage Med Spa,1125 S Beverly Dr Ste 410,Los Angeles,CA,90035,(213) 340-6880
Della Bellezza Med Spa,6200 Canoga Ave Ste 208,Los Angeles,CA,91367,(818) 518-4582
Me Medspa,331 N Atlantic Blvd Ste 202,Monterey Park,CA,91754,(626) 545-2018
La Jolla Med Spa,850 Prospect St Ste 1,La Jolla,CA,92037,(858) 208-3630
Viva La Med Spa,1657 N Wells St,Chicago,IL,60614,(312) 971-5915
H Med Spa,1755 W North Ave Ste 103,Chicago,IL,60622,
The Med Spa River North,3 E Huron St Fl 3,Chicago,IL,60611,(312) 266-6240
Chicago Medspa,30 N Michigan Ave Ste 1220,Chicago,IL,,
Goldcoast Medspa,233 E Erie Ste 100,Chicago,IL,60611,(312) 664-2128
Pure Med Spa,875 N Dearborn St Ste 300,Chicago,IL,60610,
Elase Medical Spa Lincoln Park,1006 W Armitage Ave Fl 2,Chicago,IL,60614,(312) 940-3844
Ageless Medspa,5008 W Lawrence Ave,Chicago,IL,60630,
Express Med Spa Chicago,3314 W 111th St,Chicago,IL,60655,(877) 363-3772
Houston Medical Spa,5151 Katy Fwy,Houston,TX,,(information on Yelp)
Ageless and Beautiful Med Spa,2420 Washington Ave,Houston,TX,77007,
The Med Spa,2325 Timber Shadows Dr Ste B,Houston,TX,77339,(832) 995-3380
MD Aesthetica Medspa,9230 Katy Fwy Ste 100,Houston,TX,77055,(713) 799-0000
New You Med Spa,7505 Fannin St Ste 550,Houston,TX,77054,(346) 584-1800
PS Med Spa,14018 Aesthetic Cir,Houston,TX,,
Serenity Med Spa and Wellness,4715 Merwin St,Houston,TX,77027,(713) 449-6265
New Heights Medspa,6363 Richmond Ave Ste 503,Houston,TX,77057,(832) 460-1900
River Oaks Medspa,3100 Timmons Ln Ste 100,Houston,TX,77027,(713) 621-2600
North Scottsdale Med Spa,7000 E Mayo Blvd Ste 1004,Scottsdale,AZ,85054,
Arizona Medical Medspa,13802 N Scottsdale Rd Ste 120,Scottsdale,AZ,85254,(480) 766-0550
Hollywood Med Spa Scottsdale,18511 N Scottsdale Rd Ste 102-B,Scottsdale,AZ,85255,(480) 398-8400
It's a Secret Med Spa,7012 E Greenway Pkwy Ste 140,Scottsdale,AZ,85254,(480) 685-2647
Dolce Medical Spa,4385 N 75th St,Scottsdale,AZ,85251,(480) 470-6737
Elite Medspa,7001 N Scottsdale Rd Ste 164,Scottsdale,AZ,85253,(480) 306-7766
Glo Medspa,10505 N 69th St Ste 1000,Scottsdale,AZ,85253,
The Skin Shop Medspa Scottsdale,10632 N Scottsdale Rd Ste A,Scottsdale,AZ,85254,(480) 948-1759
Medspa810 Scottsdale,23425 N Scottsdale Rd A103,Scottsdale,AZ,85255,(480) 513-8813
Look Lab Med Spa,8787 E Pinnacle Peak Rd Ste 206,Scottsdale,AZ,85255,(480) 992-5665
DermaCenter Medical Spa,1632 Pine St,Philadelphia,PA,19103,(215) 735-7990
Forever Young Medical Spa,1420 Locust St Ste 220,Philadelphia,PA,19102,(215) 234-7957
Enigma Medi Spa,1520 Locust St,Philadelphia,PA,19102,(215) 717-7117
Philadelphia Facial Plastic Surgery & Medspa,456 N 5th St,Philadelphia,PA,,
Yofi Med Spa Philly,124 Chestnut St,Philadelphia,PA,19106,(267) 200-2858
Nirvana Wellness Medspa,709 North 2nd St,Philadelphia,PA,19123,(267) 764-2835
San Antonio Med Spa,22015 W IH-10 Ste 204,San Antonio,TX,78257,(210) 446-6263
Medspa810 San Antonio,18730 Stone Oak Pkwy Ste 106,San Antonio,TX,78258,(210) 888-1020
Stadia Medical Spa,21 Spurs Ln Ste 110,San Antonio,TX,78240,(210) 881-6270
Belviso Medspa at San Antonio,1943 N New Braunfels Ave,San Antonio,TX,78208,(210) 701-9660
Med Spa Bar & Wellness Center,3126 N St Mary's St Ste 2,San Antonio,TX,78212,(726) 242-6378
Gruene House Med Spa,4823 Fredericksburg Rd,San Antonio,TX,78229,
Cutella Medical Spa,5822 Worth Pkwy Ste 115,San Antonio,TX,78257,(210) 201-5090
Purity Medical Spa,15679 San Pedro Ave,San Antonio,TX,78232,(210) 393-2744
Radiance Medspa San Antonio,1624 Lockhill Selma Rd,San Antonio,TX,78213,(210) 804-0772
Revive Medspa,14802 Jones Maltsberger Ste 1201,San Antonio,TX,78247,(726) 400-3700
San Diego Skin Medspa,4150 Regents Park Row Ste 300,San Diego,CA,92037,(858) 241-1968
The Med Spa Boutique,910 Hale Pl Unit 200,San Diego,CA,91914,(619) 436-7895
San Diego Aesthetics and Med Spa,5464 Baltimore Dr,La Mesa,CA,,
Sports Medspa,4015 Avati Dr,San Diego,CA,,
B Medical Spa and Wellness Center,3033 Fifth Ave Ste 105,San Diego,CA,92103,(619) 890-9985
South Coast Medspa,4520 Executive Dr Ste 325,San Diego,CA,92121,(858) 346-2065
Sente Bella Medspa,220 W G St,San Diego,CA,92101,(619) 235-6865
Aesthetica Med Spa of San Diego,306 Walnut Ave Ste 32,San Diego,CA,92103,(619) 204-5843
Alo Derma Med Spa,2333 Camino Del Rio S Ste 340,San Diego,CA,92108,(858) 392-3590
WellSkin Med Spa,8201 Preston Rd Ste 540,Dallas,TX,75225,(214) 373-3223
Sanjiva Medical Spa,5633 W Lovers Ln,Dallas,TX,75209,(469) 336-6769
It's a Secret Med Spa,2935 Blackburn St Ste 100,Dallas,TX,75204,(469) 789-0004
Modern Medical Spa,5422 Alpha Rd,Dallas,TX,75240,(972) 331-7727
Vitalyc Medspa,6915 Preston Rd,Dallas,TX,75205,
Well Labs Medspa,5009 W Lovers Ln,Dallas,TX,75209,(214) 238-2251
Dermani Medspa Preston Hollow,11661 Preston Rd Ste 210,Dallas,TX,75230,(214) 753-8650
Reflections Medical Spa,17110 Dallas N Tollway Ste 100,Dallas,TX,75248,(972) 380-7007
San Jose Medical Spa,2360 Mckee Rd Ste 10,San Jose,CA,95116,(408) 770-9897
Me Medical Spa,4608 Meridian Ave,San Jose,CA,95124,(408) 337-2313
Clarity Medical Spa,2664 Berryessa Rd Ste 101,San Jose,CA,95132,(669) 219-1790
Clarity Medical Spa,2242 Camden Ave Ste 102,San Jose,CA,95124,(669) 219-1718
Alquimia Med Spa,635 N 1st St Ste A,San Jose,CA,95112,(650) 591-2121
True You Medical Aesthetic,969 Story Rd Ste 6060A,San Jose,CA,95122,(408) 223-8818
Lilly Beauty Med Spa,300 Divisadero St,San Francisco,CA,94117,(415) 580-7049
Skin Medical Spa,1825 Union St,San Francisco,CA,94123,(415) 409-6500
Epi Center Medspa,450 Sutter St Ste 800,San Francisco,CA,94108,(415) 362-4754
Spa Radiance Medical,3013 Fillmore St,San Francisco,CA,94123,(415) 633-4600
Austin Med Spa,1611 W 6th St,Austin,TX,78703,(512) 479-9997
That Med Spa,7710 N Fm 620 Bldg 13-D,Austin,TX,78726,(512) 524-3238
Aesthetica Medspa,500 N Capital Of Texas Hwy Bldg 6 Ste 100,Austin,TX,78746,(512) 899-2639
Medspa of Austin,10931 Jollyville Rd,Austin,TX,,
The Medspa Northwest Hills,3918 Far W Blvd,Austin,TX,78731,(512) 640-8111
It's a Secret Med Spa,3001 Palm Way Ste 146,Austin,TX,78758,(512) 256-8608
Beaux Medspa,6317 Bee Caves Rd Ste 260,Austin,TX,78746,(512) 428-5438
Glo Med Spa Austin,9801 Anderson Mill Rd Ste 120,Austin,TX,78750,(512) 336-7546
Azura Med Spa,2540 West Arrowood Rd Ste 100,Charlotte,NC,28273,(980) 297-7733
Epiphany Medical Spa,1945 J N Pease Pl Ste 101,Charlotte,NC,28262,(800) 736-9414
Prestige Med Spa and Wellness Center,2136 Ayrsley Town Blvd Ste A,Charlotte,NC,28273,(980) 237-4630
Voci Med Spa,7808 F Rea Rd Ste F,Charlotte,NC,28277,(704) 752-8030
Infinity Medspa & Wellness,2809 Coltsgate Rd Ste 100,Charlotte,NC,28211,(704) 733-9202
Urban Medspa & Weight Loss Center,8535 Cliff Cameron Dr Ste 116,Charlotte,NC,28269,(704) 971-9191
The Medspa,1112 Dresser Ct,Raleigh,NC,27609,(919) 333-4418
Lorena Luca Med & Spa,412-201 Woodburn Rd Ste 201,Raleigh,NC,27605,(919) 977-0090
Glo De Vie Med Spa,4209 Lassiter Mill Rd Ste 133,Raleigh,NC,27609,(919) 510-5919
Glo Medspa,1613 Military Cutoff Rd Ste 110,Wilmington,NC,28403,(910) 256-2690
Alfa Med Spa,134 Northwoods Blvd,Columbus,OH,,
Medileaf Medical Spa,1900 Crown Park Ct Ste B,Columbus,OH,43235,(614) 741-1376
Jiva Med Spa Columbus,1127 Dublin Rd,Columbus,OH,43215,(614) 421-7546
Elevated Dermatology & Medspa,8240 Naab Rd Ste 360,Indianapolis,IN,46260,(317) 961-6396
Fundamentals Med Spa,152 E 22nd St Ste A,Indianapolis,IN,46202,(317) 222-7546
Element Medspa,1617 Boylston Ave,Seattle,WA,98122,(206) 569-8631
Blue Haven Medical Spa,6900 E Green Lake Way N Ste I,Seattle,WA,98115,
Simplicity Med Spa,5025 25th Ave NE Ste 104,Seattle,WA,98105,(206) 643-5325
Prime Medspa PDX,5635 NE Alameda St,Portland,OR,97213,(971) 777-0303
Soleil Medical & Beauty Spa,7887 SW Capitol Hwy,Portland,OR,97219,(503) 244-7717
Venya Medical Spa,933 NW 25th Ave,Portland,OR,97210,
Love Medical Spa,3438 NE 45th Ave,Portland,OR,97213,(971) 500-9009
Pearl Medspa,1339 NW Couch St,Portland,OR,97209,(503) 946-3888
Dream Medspa,695 S Colorado Blvd Ste 300,Denver,CO,80246,(720) 676-8965
Rejuvenate Medspa,501 S Cherry St Ste 900,Denver,CO,80246,(303) 951-2100
Spritz Medspa,730 Colorado Blvd Ste 200,Denver,CO,80206,(720) 235-8033
The Natural Look Medspa,1916 Patterson St Ste 100,Nashville,TN,37203,(615) 321-5005
NSI Wellness and Aesthetics,118 30th Ave N,Nashville,TN,37203,(615) 431-3724
ElaMar Nashville,4101 Charlotte Ave Ste G100,Nashville,TN,37209,(615) 235-9225
Bellevue MediSpa,631A Old Hickory Blvd,Nashville,TN,37209,(615) 662-1220
Serotonin Centers MedSpa,3900 Hillsboro Pike Ste 20,Nashville,TN,37215,(615) 712-8462
Nashville Skin Society,3708 Nolensville Pike Ste D,Nashville,TN,37211,
The Med Spa,6125 S Fort Apache Rd Ste 204,Las Vegas,NV,89148,(702) 685-1849
Vegas Med Spa,1811 S Rainbow Blvd Ste 108,Las Vegas,NV,89146,
Medspa LV,8975 W Charleston Blvd Ste 180,Las Vegas,NV,89117,(702) 485-3409
Nuve Medspa,2820 W Charleston Blvd Ste 7,Las Vegas,NV,89102,(702) 602-4030
Beautiful Med Spa,4280 S Hualapai Way Ste 200,Las Vegas,NV,89147,(702) 461-7958
Hollywood Wellness Med Spa,6850 W Spring Mountain Rd Ste 102,Las Vegas,NV,89146,(702) 762-8923
Beauty Factory Medspa,5025 Blue Diamond Rd Ste 103,Las Vegas,NV,89139,(702) 352-3560
Skin Las Vegas Med Spa,4270 S Decatur Blvd Ste B11,Las Vegas,NV,89103,(725) 219-3710
Flawless Medspa by Melanie Speed,9418 W Lake Mead Blvd,Las Vegas,NV,89134,(702) 588-2260
The Look Med Spa,7530 W Sahara Ave Ste 105,Las Vegas,NV,89117,(702) 246-2238
The Fort Lauderdale MedSpa,2821 E Commercial Blvd Ste 200,Fort Lauderdale,FL,33308,(954) 560-1380
Me Time MedSpa,1201 N Federal Hwy Ste 5,Fort Lauderdale,FL,33304,
Lifestyle Medical Spa,2424 E Las Olas Blvd Unit C,Fort Lauderdale,FL,33301,(954) 297-9137
Venus Med Spa,2414 E Sunrise Blvd Ste 2140A,Fort Lauderdale,FL,33304,(954) 561-6244
Vio Med Spa,921 SE 17th St Unit B-2,Fort Lauderdale,FL,33316,(954) 687-1846
MedSpa UM,1321 NW 14th St Ste 303,Miami,FL,33125,(305) 548-4005
Meridian MedSpa,2801 SW 3rd Ave Fl 3,Miami,FL,33129,(305) 695-1506
Radiance Medspa,2810 Paces Ferry Rd SE,Atlanta,GA,30339,(770) 435-7700
Lux Med Spa,4684 Roswell Rd NE Ste A-1,Atlanta,GA,30342,(404) 465-1234
Balanced Aesthetics Medspa,1350 Dresden Dr NE Ste 1006,Atlanta,GA,30319,(470) 226-2390
Vianka Aesthetic Med Spa,1867 Independence Sq Ste 105,Atlanta,GA,30338,(470) 514-5659
Bella Medspa,3216 Paces Ferry Pl NW,Atlanta,GA,30305,(678) 908-3491
Aura Medical Spa,,Atlanta,GA,30342,(404) 491-0941
Atlanta MediSpa and Surgery Center,1232 Johnson Ferry Rd,Marietta,GA,,(information on Yelp)
Laser MD Medspa,218 Newbury St,Boston,MA,02116,(617) 421-0900
Jolie Med Spa,867 Boylston St,Boston,MA,02199,(857) 529-8759
Seaport Medspa,536 E Broadway,Boston,MA,02127,(617) 681-8244
Anew Medspa Clinic,13100 Wayzata Blvd Ste 160,Minnetonka,MN,55305,(612) 208-0741
Embodiment Medspa,4710 N Habana Ave Ste 202,Tampa,FL,33614,(813) 803-9111
Venus Med Spa,405 S Dale Mabry,Tampa,FL,33609,(813) 443-4530
SB Health & Beauty Med Spa,116 S Oregon Ave,Tampa,FL,33606,(813) 259-3606
Tre Medspa,11013 Countryway Blvd,Tampa,FL,33626,
Westchase Medspa,6928 W Linebaugh Ave Ste 102,Tampa,FL,33625,(813) 749-7143
Health and Medspa,3919 Tampa Rd,Oldsmar,FL,,
Luxe Med Spa Aesthetics,55 W Church St Ste 206,Orlando,FL,32801,(407) 250-5145
Medspa of Sacramento,1722 J St,Sacramento,CA,,
One Medspa,950 Fulton Ave Ste 260,Sacramento,CA,95825,(916) 900-9434
Rouge Medical Spa,2936 Fulton Ave,Sacramento,CA,95821,(916) 891-5159
Sacramento Medical Spa,705 University Ave,Sacramento,CA,95825,(925) 786-8799
Derma Med Spa,3019 O St,Sacramento,CA,95816,(916) 761-1659
Health and Beauty Medical Spa,2235 Park Towne Cir,Sacramento,CA,95825,(916) 999-9370
Bare Med Spa Downtown,1230 Walnut St,Kansas City,MO,64106,(816) 844-9334
Face KC Medical Spa,8006 N Brighton Ave,Kansas City,MO,64119,(816) 216-7473
Aestheti Care,9225 Ward Pkwy Ste 200,Kansas City,MO,64114,(816) 338-7881
Hollyday Med Spa + Aesthetics,1 E Gregory Blvd,Kansas City,MO,64114,(816) 333-4430
All For You Medspa,5680 Telegraph Rd,St. Louis,MO,63129,
